order,family,genus,species,tax_resolution,a,b,n,minimum_size,maximum_size,continent,region_detail,source publication,relation,original_a,orginal_a_SE,orginal_ln_a,orginal_ln_a_SE,orginal_b,orginal_b_SE,notes
Odonata,Aeshnidae,Aeshna,Aeshna grandis,species,0.0623,2.68,13,15,38,Europe,NW Russia,Johnston & Cunjak 1999 FWB,power model,0.0623,,,,2.68,,Pavlov & Zubina (1990)
Odonata,Corduliidae,Cordulia,Cordulia aena ,species,0.0629,2.92,100,1.7,21,Europe,NW Russia,Johnston & Cunjak 1999 FWB,power model,0.0629,,,,2.92,,Pavlov & Zubina (1990)
Odonata,Corduliidae,Somatochlora,Somatochlora aenea,species,0.0882,2.85,20,8.5,20,Europe,NW Russia,Johnston & Cunjak 1999 FWB,power model,0.0882,,,,2.85,,Pavlov & Zubina (1990)
Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,species,0.0918,2.1,27,9.1,13,Europe,NW Russia,Johnston & Cunjak 1999 FWB,power model,0.0918,,,,2.1,,Pavlov & Zubina (1990)
Odonata,Libellulidae,Sympetrum,Sympetrum scoticum,species,0.0932,2.73,150,2.7,18,Europe,NW Russia,Johnston & Cunjak 1999 FWB,power model,0.0932,,,,2.73,,Pavlov & Zubina (1990)
Odonata,Coenagrionidae,Erythromma,Erythromma naja,species,0.107,2.08,42,14,21,Europe,NW Russia,Johnston & Cunjak 1999 FWB,power model,0.107,,,,2.08,,Pavlov & Zubina (1990)
Diptera,Ceratopogonidae,,,family,0.000363402,2.72,6,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-7.92,0.25,2.72,0.1,
Trichoptera,Hydroptilidae,Orthotrichia,,genus,0.000490542,4.18,9,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-7.62,0.67,4.18,0.66,
Diptera,Orthocladiinae,,,subfamily,0.000611253,2.74,25,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-7.4,0.27,2.74,0.15,
Diptera,Chironomidae,,,family,0.000911882,2.59,352,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-7,0.11,2.59,0.05,
Trichoptera,Hydroptilidae,,,family,0.001873401,2.52,23,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-6.28,0.59,2.52,0.5,
Trichoptera,Hydroptilidae,Oxyethira,,genus,0.001969452,3.05,16,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-6.23,0.76,3.05,0.68,
Trichoptera,Leptoceridae,Mystacides,Mystacides longicornis,species,0.001969452,2.52,14,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-6.23,0.49,2.52,0.29,
Trichoptera,Phryganeidae,,,family,0.002009237,2.57,17,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-6.21,0.31,2.57,0.13,
Trichoptera,Molannidae,Molanna,Molanna angustata,species,0.002503664,2.49,12,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-5.99,0.44,2.49,0.23,
Trichoptera,,Athripsodes,,genus,0.004516581,2.44,52,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-5.4,0.21,2.44,0.15,
Trichoptera,Leptoceridae,Oecetis,,genus,0.007750484,1.75,13,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-4.86,0.35,1.75,0.39,
Diptera,Tanypodinae,,,subfamily,0.009754759,1.44,19,,,Europe,Germany,Märhlein et al 2016 Hydr,linear model natural log,,,-4.63,0.18,1.44,0.1,
Diptera,Pediciidae,Dicranota,,genus,6.03108E-05,4.034,43,4.4,20.8,Europe,Central Europe,Meyer 1989,linear model natural log,,,-9.716,0.55,4.034,0.235,
Diptera,Ceratopogonidae,,,family,8.46488E-05,3.795,60,4.6,9.1,Europe,Central Europe,Meyer 1989,linear model natural log,,,-9.377,0.433,3.795,0.219,
Diptera,Pediciidae,Pedicia,,genus,0.000394063,3.106,19,6.5,32.3,Europe,Central Europe,Meyer 1989,linear model natural log,,,-7.839,0.519,3.106,0.167,
Ephemeroptera,Baetidae,Baetis,Baetis muticus,species,0.000408508,4.015,13,2.5,7.6,Europe,Central Europe,Meyer 1989,linear model natural log,,,-7.803,0.931,4.015,0.586,
Diptera,Limoniidae,Hexatoma,,genus,0.000415512,3.248,64,7.9,24,Europe,Central Europe,Meyer 1989,linear model natural log,,,-7.786,0.512,3.248,0.191,
Plecoptera,Leuctridae,Leuctra,Leuctra hippopus,species,0.000734735,3.757,5,2.4,5.6,Europe,Central Europe,Meyer 1989,linear model natural log,,,-7.216,0.461,3.757,0.334,
Diptera,Chironomidae,,,family,0.000864811,3.407,16,2.3,8.5,Europe,Central Europe,Meyer 1989,linear model natural log,,,-7.053,0.719,3.407,0.433,
Diptera,Athericidae,Atherix,Atherix ibis,species,0.001396201,2.899,39,5.1,17.1,Europe,Central Europe,Meyer 1989,linear model natural log,,,-6.574,0.701,2.899,0.287,
Trichoptera,Goeridae,,,family,0.001566361,4.245,6,2.3,7.2,Europe,Central Europe,Meyer 1989,linear model natural log,,,-6.459,0.873,4.245,0.518,
Trichoptera,Rhyacophilidae,Rhyacophila,,genus,0.001593217,3.124,168,2.4,24,Europe,Central Europe,Meyer 1989,linear model natural log,,,-6.442,0.172,3.124,0.082,
Plecoptera,Leuctridae,Leuctra,Leuctra inermis,species,0.001673229,3.093,24,1.8,5.9,Europe,Central Europe,Meyer 1989,linear model natural log,,,-6.393,0.442,3.093,0.31,
Trichoptera,Psychomyiidae,,,family,0.001823496,3.13,26,3.1,13.5,Europe,Central Europe,Meyer 1989,linear model natural log,,,-6.307,0.489,3.13,0.238,
Ephemeroptera,Baetidae,Baetis,,genus,0.001926597,3.238,177,1.5,11.2,Europe,Central Europe,Meyer 1989,linear model natural log,,,-6.252,0.152,3.238,0.0881,
Ephemeroptera,Baetidae,Baetis,Baetis rhodani,species,0.002383942,3.115,83,2.4,11.2,Europe,Central Europe,Meyer 1989,linear model natural log,,,-6.039,0.297,3.115,0.16,
Plecoptera,Leuctridae,Leuctra,,genus,0.002736707,2.713,66,1.8,10.7,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.901,0.295,2.713,0.2,
Ephemeroptera,Leptophlebiidae,Habrophlebia,Habrophlebia lauta,species,0.003141672,3.013,43,1.6,6.6,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.763,0.196,3.013,0.165,
Ephemeroptera,Heptageniidae,Rhithrogena ,Rhithrogena semicolorata,species,0.003430669,3.345,106,3,9.3,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.675,0.251,3.345,0.131,
Ephemeroptera,Leptophlebiidae,Habroleptoides,Habroleptoides confusa,species,0.004029955,2.926,44,2.2,9.9,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.514,0.307,2.926,0.22,
Coleoptera,Elmidae,Esolus,,genus,0.004086771,2.724,13,1.7,3.6,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.5,0.396,2.724,0.356,
Diptera,Limoniidae,Antocha,,genus,0.004103151,2.444,14,2.4,8.5,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.496,0.584,2.444,0.327,
Plecoptera,Nemouridae,Protonemura,Protonemura meyeri,species,0.004111366,3.178,20,2.3,6.7,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.494,0.319,3.178,0.206,
Ephemeroptera,Heptageniidae,Ecdyonurus,Ecdyonurus venosus,species,0.004313524,3.347,58,2.1,10.6,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.446,0.209,3.347,0.123,
Plecoptera,Nemouridae,Protonemura,,genus,0.004700906,3.113,59,1.5,8.2,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.36,0.158,3.113,0.101,
Diptera,Empididae,,,family,0.004743405,2.729,32,1.8,6.2,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.351,0.484,2.729,0.312,
Trichoptera,Limnephilidae,Allogamus,Allogamus auricollis,species,0.004815093,2.862,7,3.3,15.4,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.336,0.762,2.862,0.334,
Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella ignita,species,0.005401925,3.057,16,1.6,7.7,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.221,0.273,3.057,0.165,
Trichoptera,Limnephilidae,,,family,0.005412739,2.966,93,1.3,23.4,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.219,0.181,2.966,0.087,
Ephemeroptera,Baetidae,Baetis,Baetis fuscatus,species,0.005494542,2.566,6,2.9,6.4,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.204,0.022,2.566,0.605,
Plecoptera,Perlodidae,Perlodes,Perlodes microcephala,species,0.006048167,2.889,5,2.4,22.2,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.108,0.152,2.889,0.066,
Plecoptera,Perlodidae,Isoperla,Isoperla grammatica,species,0.006269868,2.697,86,1.7,12.8,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.072,0.186,2.697,0.107,
Trichoptera,Limnephilidae,Ecclisopteryx,,genus,0.006339217,3.024,23,4.3,12,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.061,0.712,3.024,0.34,
Ephemeroptera,Ephemerellidae,Ephemerella,,genus,0.006422165,2.912,111,1.2,9.7,Europe,Central Europe,Meyer 1989,linear model natural log,,,-5.048,0.126,2.912,0.078,
Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella mucronata,species,0.006819289,2.833,62,1.2,9.5,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.988,0.129,2.833,0.087,
Plecoptera,Taeniopterygidae,Taeniopteryx,Taeniopteryx hubaulti,species,0.007727267,2.724,7,1.6,8.7,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.863,0.421,2.724,0.281,
Trichoptera,Glossosomatidae,Agapetus,,genus,0.008669016,2.345,13,1.6,3.4,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.748,0.494,2.345,0.557,
Ephemeroptera,Heptageniidae,Epeorus,Epeorus sylvicola,species,0.008729912,2.885,30,1,15,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.741,0.3,2.885,0.186,
Plecoptera,Chloroperlidae,,,family,0.008791236,2.146,,2.2,8.3,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.734,0.573,2.146,0.358,
Trichoptera,Odontoceridae,Odontocerum,Odontocerum albicorne,species,0.00966736,2.768,20,1.2,13.6,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.639,0.257,2.768,0.137,
Plecoptera,Nemouridae,Amphinemura,,genus,0.01058836,2.538,34,1.2,5.7,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.548,0.276,2.538,0.241,
Diptera,Simuliidae,,,family,0.011097893,2.074,14,1.5,6.9,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.501,0.531,2.074,0.342,
Trichoptera,Sericostomatidae,Sericostoma,,genus,0.011378838,2.649,14,3.3,14.9,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.476,0.774,2.649,0.388,
Plecoptera,Perlidae,Perla,Perla marginata,species,0.013828826,2.653,36,9.1,21.9,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.281,0.962,2.653,0.352,
Coleoptera,Elmidae,Elmis,,genus,0.014639967,2.46,51,1.2,3.9,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.224,0.268,2.46,0.245,
Plecoptera,Nemouridae,Nemoura,,genus,0.016473537,1.986,18,1.3,6.6,Europe,Central Europe,Meyer 1989,linear model natural log,,,-4.106,0.447,1.986,0.35,
Ephemeroptera,Leptophlebiidae,Meridialaris,,genus,4.77276E-05,4.84,39,2.5,11,South America,Argentina,Miserendino 2001,linear model natural log,,,-9.95,0.53,4.84,0.29,
Diptera,Muscidae,Lispoides,,genus,0.000325548,3.55,6,6.5,13.5,South America,Argentina,Miserendino 2001,linear model natural log,,,-8.03,1.27,3.55,0.57,
Diptera,Tipulidae,Hexatoma,,genus,0.000435072,3.29,18,6.5,23,South America,Argentina,Miserendino 2001,linear model natural log,,,-7.74,0.8,3.29,0.35,
Diptera,Chironomidae,Paratrichocladius,,genus,0.001695123,3.23,17,3,7,South America,Argentina,Miserendino 2001,linear model natural log,,,-6.38,0.37,3.23,0.25,
Ephemeroptera,Siphlonuridae,Metamonius,,genus,0.001729367,3.26,41,5,11.5,South America,Argentina,Miserendino 2001,linear model natural log,,,-6.36,0.41,3.26,0.19,
Plecoptera,Gripopterygidae,Notoperlopsis,Notoperlopsis femina,species,0.00185476,2.94,31,3,15,South America,Argentina,Miserendino 2001,linear model natural log,,,-6.29,0.47,2.94,0.22,
Odonata,Aeshnidae,Aeshna,,genus,0.002381559,3.18,13,3,22,South America,Argentina,Miserendino 2001,linear model natural log,,,-6.04,0.64,3.18,0.28,
Coleoptera,Hydrophilidae,Tropisternus,Tropisternus setiger,species,0.002405494,2.2,7,3,8,South America,Argentina,Miserendino 2001,linear model natural log,,,-6.03,0.92,2.2,0.56,
Trichoptera,Hydrobiosidae,Neoatopsyche,,genus,0.003848776,2.51,17,3,13,South America,Argentina,Miserendino 2001,linear model natural log,,,-5.56,0.27,2.51,0.14,
Plecoptera,Gripopterygidae,Notoperla,Notoperla archiplatae,species,0.004253556,3.15,39,2,16,South America,Argentina,Miserendino 2001,linear model natural log,,,-5.46,0.39,3.15,0.1,
Plecoptera,Gripopterygidae,Aubertoperla,Aubertoperla illiesi,species,0.005092431,2.78,23,2,5.5,South America,Argentina,Miserendino 2001,linear model natural log,,,-5.28,0.29,2.78,0.22,
Ephemeroptera,Baetidae,Baetis,,genus,0.005247518,2.73,21,2,6,South America,Argentina,Miserendino 2001,linear model natural log,,,-5.25,0.35,2.73,0.26,
Plecoptera,Gripopterygidae,Limnoperla,Limnoperla jaffueli,species,0.005684569,2.34,26,3,8,South America,Argentina,Miserendino 2001,linear model natural log,,,-5.17,0.69,2.34,0.42,
Plecoptera,Austroperlidae,Klapoptheryx,Klapoptheryx kuscheli,species,0.0057417,2.53,39,4.5,25,South America,Argentina,Miserendino 2001,linear model natural log,,,-5.16,0.24,2.53,0.1,
Coleoptera,Elmidae,Austrelmis,,genus,0.00585769,2.11,16,3,7,South America,Argentina,Miserendino 2001,linear model natural log,,,-5.14,0.56,2.11,0.33,
Diptera,Blephariceridae,Edwardsina,,genus,0.006670903,2.85,31,2,15.5,South America,Argentina,Miserendino 2001,linear model natural log,,,-5.01,0.11,2.85,0.05,
Ephemeroptera,Leptophlebiidae,Nousia,Nousia bella,species,0.007446583,2.34,14,5,9,South America,Argentina,Miserendino 2001,linear model natural log,,,-4.9,0.83,2.34,0.43,
Plecoptera,Perlidae,Kempnyela,Kempnyela genualis,species,0.007986521,2.74,17,3,19,South America,Argentina,Miserendino 2001,linear model natural log,,,-4.83,0.36,2.74,0.16,
Trichoptera,Hydropsychidae,Smicridea,,genus,0.00848038,2.79,44,3,16,South America,Argentina,Miserendino 2001,linear model natural log,,,-4.77,0.31,2.79,0.15,
Ephemeroptera,Leptophlebiidae,Penaphlebia,Penaphlebia chilensis,species,0.009004778,2.29,13,3,7,South America,Argentina,Miserendino 2001,linear model natural log,,,-4.71,0.4,2.29,0.25,
Trichoptera,Hydrobiosidae,Rheochorema,,genus,0.009095277,2.37,7,2,7.5,South America,Argentina,Miserendino 2001,linear model natural log,,,-4.7,0.16,2.37,0.09,
Plecoptera,Gripopterygidae,Senzilloides,Senzilloides panguipulli,species,0.009186686,2.7,27,2,17,South America,Argentina,Miserendino 2001,linear model natural log,,,-4.69,0.26,2.7,0.14,
Trichoptera,Hydrobiosidae,Cailloma,,genus,0.009561602,2.47,24,3.5,13,South America,Argentina,Miserendino 2001,linear model natural log,,,-4.65,0.32,2.47,0.18,
Diptera,Athericidae,Dasyoma,,genus,0.010152858,2.04,31,3,14,South America,Argentina,Miserendino 2001,linear model natural log,,,-4.59,0.21,2.04,0.1,
Plecoptera,Perlidae,Pictetoperla,Pictetoperla gayi,species,0.012155178,2.66,23,2,20,South America,Argentina,Miserendino 2001,linear model natural log,,,-4.41,0.24,2.66,0.11,
Diptera,Simuliidae,Simulium,,genus,0.022595602,1.78,31,2,7,South America,Argentina,Miserendino 2001,linear model natural log,,,-3.79,0.21,1.78,0.15,
Plecoptera,Gripopterygidae,Antarctoperla,Antarctoperla michaelseni,species,0.030500872,1.61,22,2,9,South America,Argentina,Miserendino 2001,linear model natural log,,,-3.49,0.33,1.61,0.2,
Trichoptera,Sericostomatidae,Parasericostoma,Parasericostoma ovale,species,0.05130331,1.45,21,1.5,5,South America,Argentina,Miserendino 2001,linear model natural log,,,-2.97,0.31,1.45,0.27,
Plecoptera,Gripopterygidae,Potamoperla,Potamoperla myrmidon,species,0.060204992,1.38,17,3,9.5,South America,Argentina,Miserendino 2001,linear model natural log,,,-2.81,0.49,1.38,0.26,
Trichoptera,Glossosomatidae,Glossosoma,Glossosoma altaicum,species,0.0011,2.998,,2.1,6.8,Asia,Japan,Miyasaka et al. 2008,power model,0.0011,,,,2.998,,
Diptera,Athericidae,,,family,0.007,2.648,,3.3,5.3,Asia,Japan,Miyasaka et al. 2008,power model,0.007,,,,2.648,,
Trichoptera,Brachycentridae,Micrasema,Micrasema quadriloba,species,0.019,2.631,,0.7,3.3,Asia,Japan,Miyasaka et al. 2008,power model,0.019,,,,2.631,,
Ephemeroptera,Ephemerellidae,Uracanthella,Uracanthella punctisetae,species,0.021,2.315,,2.3,5.5,Asia,Japan,Miyasaka et al. 2008,power model,0.021,,,,2.315,,
Trichoptera,Glossosomatidae,,,family,0.022,2.524,,,,Asia,Japan,Miyasaka et al. 2008,power model,0.022,,,,2.524,,
Trichoptera,Goeridae,Goera,Goera japonica,species,0.025,2.575,,1.8,11.3,Asia,Japan,Miyasaka et al. 2008,power model,0.025,,,,2.575,,
Trichoptera,Glossosomatidae,Glossosoma,Glossosoma ussuricum,species,0.041,2.066,,2.3,6.9,Asia,Japan,Miyasaka et al. 2008,power model,0.041,,,,2.066,,
Diptera,Chironomidae,Polypedilum,,genus,0.000670156,2.603,6,1.35,7.9,Europe,Germany,Nolte 1990 FWB,linear model natural log,,,-7.308,0.974,2.603,1.003,
Diptera,Chironomidae,Micropsectra,,genus,0.000695416,2.736,36,1.17,8.64,Europe,Germany,Nolte 1990 FWB,linear model natural log,,,-7.271,0.188,2.736,0.116,
Diptera,Chironomidae,Corynoneura,,genus,0.001459006,2.203,7,1.05,2.88,Europe,Germany,Nolte 1990 FWB,linear model natural log,,,-6.53,0.164,2.203,0.279,
Diptera,Chironomidae,Eukiefferiella,Eukiefferiella brehmi,species,0.002070428,2.264,9,1.37,5.24,Europe,Germany,Nolte 1990 FWB,linear model natural log,,,-6.18,0.813,2.264,0.861,
Diptera,Chironomidae,Diamesa,,genus,0.002074573,2.803,26,0.51,9.91,Europe,Germany,Nolte 1990 FWB,linear model natural log,,,-6.178,0.234,2.803,0.13,
Diptera,Chironomidae,Orthocladius,,genus,0.002101718,2.273,30,1.4,5.67,Europe,Germany,Nolte 1990 FWB,linear model natural log,,,-6.165,0.358,2.273,0.279,
Diptera,Chironomidae,Thienemanniella,,genus,0.004058264,2.039,18,1.13,2.77,Europe,Germany,Nolte 1990 FWB,linear model natural log,,,-5.507,0.148,2.039,0.22,
Diptera,Chironomidae,Synorthocladius,Synorthocladius semivirens,species,0.005412739,2.133,7,1.49,3.7,Europe,Germany,Nolte 1990 FWB,linear model natural log,,,-5.219,0.437,2.133,0.434,
Diptera,Chironomidae,Eukiefferiella,Eukiefferiella devonica,species,0.005869417,2.314,6,1.6,4.69,Europe,Germany,Nolte 1990 FWB,linear model natural log,,,-5.138,1.67,2.314,1.33,
Diptera,Tabanidae,,,family,0.000136144,4.221,19,5,15,Europe,Central Europe,Poepperl et al. 1998,linear model log10 base,,,-3.866,0.126,4.221,0.694,
Diptera,Ceratopogonidae,,,family,0.001972423,2.439,19,4,7,Europe,Central Europe,Poepperl et al. 1998,linear model log10 base,,,-2.705,0.05,2.439,0.472,
Diptera,Limoniidae,,,family,0.003971915,2.44,22,6,16,Europe,Central Europe,Poepperl et al. 1998,linear model log10 base,,,-2.401,0.04,2.44,0.153,
Coleoptera,Elmidae,Oulimnius,Oulimnius tuberculatus,species,0.013772095,2.555,99,1.6,3.6,Europe,Central Europe,Poepperl et al. 1998,linear model log10 base,,,-1.861,0.0257,2.555,0.118,
Odonata,Gomphidae,,,family,0.001,3.012,15,,,North America,California,Sabo 2002,power model,0.001,0.009,,,3.012,2.328,
Odonata,Coenagrionidae,,,family,0.001,2.672,17,,,North America,California,Sabo 2002,power model,0.001,0.009,,,2.672,2.535,
Plecoptera,Chloroperlidae,,,family,0.005,2.732,12,,,North America,California,Sabo 2002,power model,0.005,0.006,,,2.732,0.622,
Plecoptera,Perlidae,,,family,0.008,2.819,11,,,North America,California,Sabo 2002,power model,0.008,0.014,,,2.819,0.593,
Trichoptera,Hydropsychidae,,,family,0.049,2.295,9,,,North America,California,Sabo 2002,power model,0.049,0.105,,,2.295,1.078,
Plecoptera,Pteronarcyidae,,,family,0.506,1.5,22,,,North America,California,Sabo 2002,power model,0.506,0.507,,,1.5,0.306,
Plecoptera,Taeniopterygidae,,,family,0.001,0.96,,,,Asia,Choghakhor International Wetland Basin,Shahbaz-Gahroee et al 2021,linear model natural log,,,-6.907,0.282,0.96,0.133,
Plecoptera,Leuctridae,,,family,0.002,0.73,,,,Asia,Choghakhor International Wetland Basin,Shahbaz-Gahroee et al 2021,linear model natural log,,,-6.214,0.031,0.73,0.812,
Coleoptera,Elmidae,,,family,0.005,1.491,,,,Asia,Choghakhor International Wetland Basin,Shahbaz-Gahroee et al 2021,linear model natural log,,,-5.298,0.621,1.491,0.163,
Trichoptera,,,,order,0.001899813,3.12,,,,North America,,Smock 1980,linear model natural log,,,-6.266,0.693,3.12,0.29,
Plecoptera,,,,order,0.002299646,3.39,,,,North America,,Smock 1980,linear model natural log,,,-6.075,0.833,3.39,0.22,
Plecoptera,Perlidae,Eccoptura,Eccoptura xanthenes,species,0.002400688,3.44,7,,,North America,,Smock 1980,linear model natural log,,,-6.032,1792,3.44,0.5,
Megaloptera,Corydalidae,Corydalus,Corydalus cornutus,species,0.00269866,2.8,30,,,North America,,Smock 1980,linear model natural log,,,-5.915,3295,2.8,0.18,
Megaloptera,,,,order,0.002900129,2.75,,,,North America,,Smock 1980,linear model natural log,,,-5.843,1.065,2.75,0.19,
Trichoptera,Hydropsychidae,Macronema,Macronema carolina,species,0.003000429,3.09,8,,,North America,,Smock 1980,linear model natural log,,,-5.809,1099,3.09,0.72,
Ephemeroptera,Isonychiidae,Isonychia,,genus,0.003101095,3.17,107,,,North America,,Smock 1980,linear model natural log,,,-5.776,0.439,3.17,0.07,
Megaloptera,Sialidae,Sialis,,genus,0.003101095,2.9,14,,,North America,,Smock 1980,linear model natural log,,,-5.776,3434,2.9,0.45,
Ephemeroptera,Baetidae,Baetis,,genus,0.003299448,3.2,36,,,North America,,Smock 1980,linear model natural log,,,-5.714,0.501,3.2,0.81,
Diptera,Ceratopogonidae,Palpomyia,,genus,0.003299448,2.39,18,,,North America,,Smock 1980,linear model natural log,,,-5.714,1.194,2.39,0.49,
Trichoptera,Polycentropodidae,Polycentropus,,genus,0.003599357,3,15,,,North America,,Smock 1980,linear model natural log,,,-5.627,1281,3,0.83,
Plecoptera,Perlidae,Perlesta,Perlesta placida,species,0.003701563,3.08,15,,,North America,,Smock 1980,linear model natural log,,,-5.599,1532,3.08,0.45,
Diptera,Tanypodinae,,,subfamily,0.003799066,2.41,12,,,North America,,Smock 1980,linear model natural log,,,-5.573,1335,2.41,0.59,
Trichoptera,Hydropsychidae,Cheumatopsyche,,genus,0.004001844,2.67,45,,,North America,,Smock 1980,linear model natural log,,,-5.521,0.694,2.67,0.9,
Trichoptera,Hydropsychidae,Hydropsyche,,genus,0.004300603,2.91,107,,,North America,,Smock 1980,linear model natural log,,,-5.449,0.766,2.91,0.65,
Plecoptera,Perlodidae,Isoperla,Isoperla elio,species,0.004300603,2.9,19,,,North America,,Smock 1980,linear model natural log,,,-5.449,1459,2.9,0.48,
Odonata,Gomphidae,Gomphus,,genus,0.004400663,3.12,9,,,North America,,Smock 1980,linear model natural log,,,-5.426,2398,3.12,0.89,
Diptera,Simuliidae,,,family,0.004800669,2.55,26,,,North America,,Smock 1980,linear model natural log,,,-5.339,0.876,2.55,0.39,
Trichoptera,Lepidostomatidae,Lepidostoma,,genus,0.004897649,2.84,21,,,North America,,Smock 1980,linear model natural log,,,-5.319,0.49,2.84,0.29,
Diptera,Tabanidae,Tipula,Tipula abdominatis,species,0.005001587,2.36,19,,,North America,,Smock 1980,linear model natural log,,,-5.298,0.917,2.36,0.37,
Plecoptera,Capniidae,Allocapnia,,genus,0.005097526,2.84,16,,,North America,,Smock 1980,linear model natural log,,,-5.279,0.936,2.84,0.45,
Diptera,Chironominae,,,subfamily,0.005097526,2.32,61,,,North America,,Smock 1980,linear model natural log,,,-5.279,0.53,2.32,0.37,
Diptera,Orthocladiinae,,,subfamily,0.005097526,2.32,61,,,North America,,Smock 1980,linear model natural log,,,-5.279,0.53,2.32,0.37,
Diptera,,,,order,0.005401925,2.43,,,,North America,,Smock 1980,linear model natural log,,,-5.221,0.588,2.43,0.15,
Plecoptera,Taeniopterygidae,Taeniopteryx,Taeniopteryx metequi ,species,0.005999975,2.85,12,,,North America,,Smock 1980,linear model natural log,,,-5.116,1099,2.85,0.48,
Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella temporalis,species,0.005999975,2.76,18,,,North America,,Smock 1980,linear model natural log,,,-5.116,0.405,2.76,0.42,
Ephemeroptera,Ephemeridae,Hexagenia,Hexagenia munda,species,0.006201277,2.89,21,,,North America,,Smock 1980,linear model natural log,,,-5.083,0.726,2.89,0.34,
Trichoptera,Limnephilidae,Pycnopsyche,Pycnopsyche guttifer,species,0.006499695,2.74,16,,,North America,,Smock 1980,linear model natural log,,,-5.036,1179,2.74,0.34,
Ephemeroptera,,,,order,0.006597925,2.88,,,,North America,,Smock 1980,linear model natural log,,,-5.021,0.095,2.88,0.07,
Plecoptera,Perlidae,Acroneuria,Acroneuria abnormis,species,0.00669764,2.96,10,,,North America,,Smock 1980,linear model natural log,,,-5.006,0.803,2.96,0.94,
Ephemeroptera,Heptageniidae,Stenacron,Stenacron interpunctatum,species,0.00669764,2.81,45,,,North America,,Smock 1980,linear model natural log,,,-5.006,0.292,2.81,0.26,
Trichoptera,Philopotamidae,Chimarra,,genus,0.00669764,2.61,20,,,North America,,Smock 1980,linear model natural log,,,-5.006,0.803,2.61,0.61,
Ephemeroptera,Caenidae,Caenis,Caenis diminuta,species,0.006901614,2.61,14,,,North America,,Smock 1980,linear model natural log,,,-4.976,0.833,2.61,0.51,
Megaloptera,Corydalidae,Nigronia,Nigronia serricornis,species,0.00709759,2.5,30,,,North America,,Smock 1980,linear model natural log,,,-4.948,4262,2.5,0.27,
Plecoptera,Taeniopterygidae,Taeniopteryx,Taeniopteryx burksi,species,0.007402037,2.55,32,,,North America,,Smock 1980,linear model natural log,,,-4.906,0.903,2.55,0.8,
Ephemeroptera,Heptageniidae,Stenonema,Stenonema annexum,species,0.007797127,2.87,128,,,North America,,Smock 1980,linear model natural log,,,-4.854,0.262,2.87,0.08,
Plecoptera,Perlodidae,Isogenus,,genus,0.00800251,2.71,32,,,North America,,Smock 1980,linear model natural log,,,-4.828,0.693,2.71,0.43,
Odonata,Aeshnidae,Boyeria,Boyeria vinosa,species,0.008196894,2.81,11,,,North America,,Smock 1980,linear model natural log,,,-4.804,3713,2.81,0.26,
